partida_code,partida,grupo,cuenta,cuenta_nombre,metodo,evidencia,needs_review
AUTO-RSJT-2026-ROW-064,compra de lavadora y/o secadora,Proyectos Especiales,60202010000,Activos Menores,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-062,compra de podadora,Proyectos Especiales,60205001000,Adquisiciòn de herramientas,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-066,cortadora de pasto grande,Proyectos Especiales,60205001000,Adquisiciòn de herramientas,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-065,pintura de alberca,Proyectos Especiales,60208011000,Mantenimiento pintura,criterio,tokens compartidos: pintura,false
AUTO-RSJT-2026-ROW-069,remplazamiento de tanque de gas,Proyectos Especiales,60208019000,Infraestructura e instalaciones,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-067,Suministro y colocacion Cámaras Casa Barbara,Proyectos Especiales,60208019000,Infraestructura e instalaciones,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-070,Sustitución vigas Casa Lorenzo,Proyectos Especiales,60208019000,Infraestructura e instalaciones,criterio,sin coincidencia léxica — asignación conceptual,false
REC-RSJT-2026-001,Gastos visitas rancho,Recuperable,60204016000,Gastos por recuperar,criterio,tokens compartidos: gastos,false
602-01-006-000,Aguinaldos,Recursos Humanos,60201006000,Aguinaldos,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-013,"Carga Social (IMSS, Infonavit, AFORES)",Recursos Humanos,60201002000,Cuota Patronal IMSS,criterio,tokens compartidos: imss,true
AUTO-RSJT-2026-ROW-018,Cartas antecedentes No Penales,Recursos Humanos,60202007000,Gestión de Tramites,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-020,Cursos Externos de Capacitación,Recursos Humanos,60201007000,Capacitaciones,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-026,Elaboracion e inscripción Reglamento Trabajo,Recursos Humanos,60202003000,Gastos Legales,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-019,Exámenes médicos,Recursos Humanos,60217000000,Servicio médico,criterio,sin coincidencia léxica — asignación conceptual,false
602-01-005-000,Finiquitos o liquidaciones,Recursos Humanos,60201005000,Liquidaciones,criterio,tokens compartidos: liquidaciones,false
AUTO-RSJT-2026-ROW-025,Identificadores,Recursos Humanos,60201008000,Apoyo a personal,criterio,sin coincidencia léxica — asignación conceptual,true
AUTO-RSJT-2026-ROW-014,ISN,Recursos Humanos,60201004000,Impuesto Sobre Nomina,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-015,ISR,Recursos Humanos,60202005000,Impuestos,criterio,sin coincidencia léxica — asignación conceptual,true
AUTO-RSJT-2026-ROW-021,Materiales para Capacitación,Recursos Humanos,60201007000,Capacitaciones,criterio,sin coincidencia léxica — asignación conceptual,false
602-01-001-000,Nómina,Recursos Humanos,60201001000,Sueldos,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-023,Posada,Recursos Humanos,60382000002,Gastos de fin de Año,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-016,Primas vacacionales,Recursos Humanos,60201014000,Prov. P. Vacacional,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-017,Reclutamiento en Campo,Recursos Humanos,60382000004,Reclutamiento de Personal,criterio,tokens compartidos: reclutamiento,false
AUTO-RSJT-2026-ROW-022,Reconocimientos por desempeño,Recursos Humanos,60201008000,Apoyo a personal,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-024,Regalos fin de año,Recursos Humanos,60382000002,Gastos de fin de Año,criterio,"tokens compartidos: fin, ano",false
AUTO-RSJT-2026-ROW-027,Software RRHH,Recursos Humanos,60202006000,Worky,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-010,Vales de despensa,Recursos Humanos,60201010000,Vales de despensa,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-028,Viáticos RRHH,Recursos Humanos,60249000000,Viáticos y gastos de viaje,criterio,tokens compartidos: viaticos,false
AUTO-RSJT-2026-ROW-119,Seguros vehículos,Seguros 2026,60208020000,Seguros Equipo de Transporte,criterio,tokens compartidos: seguros,false
602-08-006-000,CFE,Servicios,60252000000,Energía eléctrica,criterio,sin coincidencia léxica — asignación conceptual,false
602-08-007-000,Consumo Gas,Servicios,60204003000,Consumo Gas,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-078,sky,Servicios,60207009000,Televisión,criterio,sin coincidencia léxica — asignación conceptual,false
602-08-005-000,Telmex,Servicios,60207008000,Comunicaciones,criterio,sin coincidencia léxica — asignación conceptual,false
